BusinessName,HoldingName
,abul kashem molla
,
,
,
laila digital studio,jigatala
,
,
,
,
,
,peara villa
jigatala,
,
,
,
,
,
,
,
,
,
,
,thai
,
,
,mim bhaban
,
,abdul alim
,
,
,
,arif manjil
,hakim ali
,
,
,shorafat ullah chowdhury
,
,
,
,
,monir
,
bhai bhai general store,
hafiz store,
protiva bkash international school,
r.s jewellers,
,
shikder organic market,
brother departmental store,
,
carey national school,
sobur general store,
,haq garden
,golden tower
,km valley
,
,
ma shishu shastho kendro,
maruf general store,
new morden hair dresser,
,
,
sunrise kg and high school,
,
,
,
,
badda model school and college,
bismillah foam house,
jash computer,
,
barisal laundry,
,
hossain general store,
,
brothers enterprise,
badda cosmetics,
bikrampur crockeries,
,
mobile recharge shop,nabinagar housing
,
the pabulum,
grand plaza shopping mall,
,
baitus sukur jame masjid,
shadinata sharini ideal school,
,
,
,hom tek tower
,
,
,
,
,
dhaka mishti ghor,
laundry,
,
,
,
,
dhaka music,
,
,
,
,
khabar hotel,
,
,
,
eco+ lalbagh,
cfc lalbagh,
jigatala,
,
,
,
,
,
,
,
general store,
rupali bank,
,
,
,
,
al aksa traders,
churihatta jame masjid,
,
sripur enterprise,
,
rion.store,
,
,
,
,
,
,
chandpur electric,
rofi coffee house,
ms jamuna store,
,
,
,
,momin bhuiyan
,
,mojid kazi
,
,
,
,
gomori dolphine store,
style beauty parlour,
,ayesha homes
,
,
,momtaz mahal
walton shahid nagar,shahid nagar
,rafiqual islam villa
rani tailors,
rupali pharma,
,
zisan general store,
fruit shop,
,
,
kalu enterprise,nawabganj
,
,
nawabganj,
,
,
,
,
oppo shahid nagar,
,
,
,
tea stall,islambagh
belashese food court,
,
,
,
mayer doa polao khudi,rahamotganj
,
,
,
,
,ashraf uddin
sharif medicine corner,
,
baridhara dohs convention center,
,
,
,sirajul haq
,
,sirajul islam
,
,
,abdul jolil
,
,
johir store,
,
,
,
,
,
general store,bhagalpur
bagholpur,
,
,
sowari ghat panir pump,
nagorpur transport agency,showari ghat
jalal shoe store,showari ghat
,
,
baitul mamur masjid,bakhshi bazar
,
,
,
chan miya and sons decorator,
hoseni dalan shomaj kallyan sangstha,
chankharpul traffic police box,
,
shorbot shop,companyghat
,
,
,
,
,baf kurmitola cantonment
ali sanitary,
,
,
the handsome,
,
,
,
,
,
,
,
,
new steel point,
samsung huwaei showroom showroom bongshal,
prime ss point,
,
prime bank bongshal,
,
,
,
saloon,
,
,
,
king food fry chicken,
,
,
,
,
general store,
azimpur panir pump,
,
bongo bazar public toilet,
,
kamal tanks works,
bangladesh parcel and courier service,
,
paradise tower,
,
,
,
neemtoli,
,
khabar hotel,
,
,
,
,
al amin super market,
,
,
,
khabar hotel,
,
,
eidrees complex,
,
,
,
,
sorna inter national,
,
,
,
,
mozammel motorcycle chaka workshop,
general store,
decenta pastry shop,
mazar sharif,
atique store,
,
,
,
,
kahinoor market,
,
,
meem and bondhon telecom,
,
,
,
m/s murad enterprise,
,
,
general store,noya bazar
,
sohag auto workshop,
general store,kossaituly
,
,
bismillah kashir mangsho supply,
kossaituly,
,
noya bazar,
,
,
singer plus bongshal,
,
,
,
,
kusumour perfumary and chemical,
,
,
,
,
dhaka mohanagar ponno paribahan agency malik shomity,
,
dulari hossain iron & steel market,
,
,
mashid-e-baitul rahaman jame masjid,
public toilet armanitola,
,
bangshal police station,
babuu drugs,
,
,kholil tower
,
,
muhaimin osud bitan,bongshi bazar
genneral store,
,
,
,
,
,
,
aziz electric market,
shafiq screw house,
,
,
mirdula enterprise,
,
,bashundhara owner house
,
agrani bank bongshal,
,
pubali bank bongshal,
urmi bag store,
m haque market,
,
,
,
uttara bank,
,
,
,
,
,
,
,
ramna park,
banga bhaban,
baitul mokarram masjid,
,
,
,
,
variety shop,begum bazar
,
begum bazar,
,
,
,
,
,
,
,
,
shuvo medicine corner,
,
,
,
,
,
hotel al fazal residential,
,
kibria saloon,
jannat plaza,
araf enterprise,
,
,
,
jahir enterprise,
,halim bhaban
,
,
,
,
,
,
,
lalchan government primary school,
,
,
lalmiah bearing market,
isamoti enterprise,
,
dhan shiri paper house,noya bazar
rupali bank bongshal,
,
ruhul amin telecom,
,
,
mirpur city center,
ag food,
mohakhali dohs masjid,
,
,
,
,
,
,
,
,
,
,
jui bullion store,
nobobodhu saree ghor,
,
,
,
choiti fruits,badamtoli
,
style saloon,badamtoli
,
badamtoli,
,
uttara bank kotwali,
,
,
,
,
shahid sriti high school,
,
,
,
,
,
,
,
,
,
,
